"Albion Street North","Albion Street South","Briggate","Briggate at McDonalds","Commercial Street at Barratts","Commercial Street at Lush","Dortmund Square","Headrow"
49,99,113,73,51,24,73,32
31,68,174,78,31,23,84,47
17,47,76,53,24,4,90,22
25,51,261,99,19,2,91,36
0,3,54,26,9,7,35,10
17,39,86,43,104,94,30,27
77,203,182,73,139,184,70,58
265,361,341,170,270,592,178,171
969,1076,514,406,895,820,382,408
887,1063,674,631,936,1078,607,618
1245,1802,979,778,1541,1690,1132,866
1512,2307,1479,968,2073,2456,1736,1068
1979,3413,2121,1251,2829,4915,2479,1466
1359,3631,2152,1902,3000,5611,2515,1811
1538,3202,2040,1269,2470,4022,2142,1418
1648,2475,1969,1203,2312,3248,1828,1350
1105,2233,2184,1073,2107,4150,1767,1188
474,1479,1722,857,1221,3539,1332,795
219,504,936,507,408,886,710,388
88,314,401,300,214,323,402,272
92,234,222,193,146,247,419,199
70,170,237,177,173,185,488,178
72,260,512,261,167,141,366,193
46,217,352,204,157,82,158,122
44,169,289,94,152,65,98,82
43,82,131,88,60,41,84,47
37,84,113,79,47,0,64,33
40,42,111,59,20,8,67,29
104,29,77,32,102,20,28,31
249,87,65,24,65,51,9,28
339,157,87,59,164,79,70,44
393,196,133,136,219,289,72,68
517,382,178,317,741,709,247,315
1132,1019,447,862,1773,1576,708,606
2388,2995,1272,1456,3039,2601,1589,1073
3541,4713,2248,1915,3726,4573,2567,1689
4134,6000,3747,2211,4660,6274,3460,2191
4621,7058,5770,2096,5204,7343,3788,2835
4604,7320,6234,1997,5793,8565,3877,2976
3679,6388,6229,1800,4922,8100,3558,2732
2086,3948,5625,1575,4223,6726,3109,1997
532,2065,3195,1421,2966,4530,1936,1342
361,693,1423,1100,1158,1105,1006,653
289,322,962,551,300,346,506,411
194,228,408,449,208,262,343,367
180,278,524,333,178,196,661,266
248,446,867,446,243,119,549,361
303,481,802,266,232,93,251,268
124,355,612,232,201,36,226,159
92,173,501,194,149,28,164,126
121,272,400,185,68,39,141,124
83,174,327,141,59,7,138,82
31,78,173,91,26,17,45,58
13,14,89,59,17,17,21,35
4,8,55,31,15,31,18,20
21,22,64,50,28,55,27,33
45,42,111,81,60,91,82,28
123,91,92,169,97,221,196,104
458,391,352,560,584,769,564,353
1099,1396,885,970,1253,1829,1208,726
1613,2302,1371,1267,1723,2645,1815,984
2059,3482,3295,1685,2077,3378,2352,1323
1865,2628,2575,1381,2234,3586,2333,1173
1627,1950,2047,1395,2069,3529,2044,1184
1212,1496,1572,1294,1282,2457,1587,857
520,592,936,635,456,853,755,426
125,148,276,318,139,265,297,210
92,124,246,220,118,139,193,221
81,98,178,169,110,144,147,146
63,75,150,146,61,87,120,105
43,66,189,151,45,65,151,97
41,48,178,97,85,38,113,53
5,11,91,28,25,41,60,28
3,17,49,22,6,29,35,9
4,10,48,20,15,34,40,8
0,7,34,11,4,9,36,12
1,1,28,14,15,12,20,11
11,79,51,26,92,135,26,19
63,135,108,89,118,255,99,51
277,314,233,219,416,699,326,230
740,564,163,515,1390,1553,711,595
724,914,321,642,1792,1366,1004,602
1150,1751,739,853,2110,2137,1693,897
2330,3096,1632,1652,2711,3380,2410,1292
4007,7000,3579,2144,4162,7228,3506,2153
4139,8194,4909,2213,4331,7975,3633,2497
2634,4279,3622,1873,3444,5503,2508,1986
2051,2962,2815,1753,2932,4926,2596,1632
1803,3005,2297,1609,2498,4744,2348,1462
1097,2376,1786,1258,2069,3374,1897,1110
469,733,872,851,856,694,886,492
219,279,340,411,232,335,405,460
124,172,304,276,156,232,282,211
97,134,186,184,109,129,617,150
71,108,246,248,131,82,578,143
50,173,211,94,115,110,105,56
20,65,109,32,115,44,37,26
2,78,97,30,63,44,40,12
3,39,104,27,39,7,38,4
1,6,41,19,5,6,63,4
0,28,23,17,17,27,18,3
20,84,61,15,70,74,19,21
55,140,145,80,182,127,97,65
281,327,303,238,328,564,266,175
1055,993,487,457,708,1457,627,417
799,911,581,491,816,1403,923,462
1201,1609,935,919,1471,2049,1540,880
1888,2792,1246,1327,2075,3017,2304,1285
3233,5428,2571,1829,3409,6549,3107,2113
3916,6419,2975,1823,3734,7029,3056,2295
2680,4148,2865,1519,3045,4455,2355,1895
2223,3335,2339,1429,2762,3923,2063,1636
1944,2909,1793,1474,2133,3784,1953,1401
1763,2548,1574,1448,1437,2504,1568,1089
675,874,815,710,526,847,832,515
261,312,435,411,251,296,420,304
166,187,328,285,166,209,291,215
88,187,164,208,182,121,572,145
70,331,296,179,93,60,538,160
43,187,261,118,91,53,137,93
80,96,160,43,80,52,88,51
8,38,111,42,19,19,70,8
14,57,110,46,44,4,70,9
28,21,74,27,18,0,68,7
2,4,17,9,6,8,29,13
20,136,34,29,94,130,27,12
64,131,122,147,84,223,124,49
292,373,236,262,250,639,332,196
880,869,473,501,747,1610,720,391
726,919,541,480,989,1590,918,561
1089,1440,884,1074,1656,2533,1259,863
1642,2488,1474,1598,1891,3511,2090,1284
3868,6460,3681,2254,3970,7032,3412,2182
3954,7157,4222,2333,3968,7910,3672,2411
2481,3918,3439,1940,2945,5278,2820,1819
2078,3144,2689,1788,2291,4644,2780,1744
1851,2597,2195,1738,2082,4483,2407,1425
1290,2144,1831,1368,1789,3844,2090,1167
560,915,939,678,642,1211,1068,492
177,287,455,416,236,513,582,295
185,235,382,384,132,314,513,242
139,185,288,304,139,260,571,177
93,167,352,368,106,137,408,138
48,89,238,120,103,94,147,65
6,49,109,31,65,58,59,24
9,25,91,33,52,39,57,33
1,13,32,20,20,12,50,16
1,14,35,30,15,9,66,16
1,3,57,19,45,2,14,14
27,92,59,34,80,87,21,23
48,144,161,83,128,159,86,67
300,269,242,247,252,523,293,185
881,837,258,524,1165,1286,621,501
662,871,400,689,1411,1656,943,568
905,1840,895,1131,1945,2470,1463,884
1651,2619,1604,1631,2578,3553,2102,1330
2950,5198,2749,1999,3481,6653,3203,2016
3212,7389,5058,2069,3664,8033,3536,2270
2313,4320,4219,1969,3491,5513,3041,1945
2164,3161,2502,1747,2781,4573,2664,1588
1931,2754,2244,1569,2331,4305,2765,1431
651,1605,1842,1167,2327,3283,2271,1105
484,848,1177,973,1164,1269,1119,633
306,348,641,612,285,554,693,401
191,278,357,188,233,371,497,268
99,122,205,251,138,194,648,155
94,172,423,251,155,139,543,127
117,238,435,169,169,104,174,103
12,61,288,110,175,38,97,94
16,59,323,94,69,31,109,60
89,72,225,68,32,4,120,33
27,75,264,87,41,2,119,46
6,14,120,44,30,8,45,10
28,93,77,36,92,130,38,37
69,131,126,168,128,268,95,75
243,276,250,227,322,839,237,229
762,606,272,481,1395,1175,511,585
693,995,292,747,1762,1475,810,658
1115,2024,1113,1396,2381,2325,1511,1105
2072,3384,1938,1633,2935,3368,2336,2168
3070,5727,3656,2335,4226,6673,3315,2433
2873,5799,3235,2026,3985,7503,3375,2325
2134,4166,3246,2153,3546,5305,2901,1950
2128,3259,2851,1980,3205,4484,2472,1869
1707,2925,2897,1673,2790,5754,2391,1525
601,1793,1993,1202,2653,4892,1813,1105
494,816,1116,934,830,1260,952,591
260,335,539,435,341,453,530,551
192,265,389,437,282,350,547,256
126,197,385,398,184,262,653,293
212,343,661,360,217,221,500,301
